NUTS1;NUT1 DSG;NUTS2;NUT2 DSG;NUTS3;NUT3 DSG;MUNICIPIO COD;MUNICIPIO DSG;FREGUESIA COD;FREGUESIA DSG;Total;A Pé;Automóvel ligeiro como condutor;Automóvel ligeiro como passageiro;Autocarro;Transporte coletivo da empresa ou escola;Metropolitano;Comboio;Motociclo;Bicicleta;Barco;Outro;Percentagem
0;Portugal;00;Total;000;Total;0000;Total;000000;;5920531;972098;2589136;1058089;698326;190678;105591;173129;69848;31179;17019;15438;16.4%
1;Continente;00;Total;000;Total;0000;Total;000000;;5615088;922430;2464757;994800;650348;174856;105591;173129;66785;30878;16878;14636;16.4%
1;Continente;11;Norte;000;Total;0000;Total;000000;;2051031;346919;893183;383417;242825;84943;35639;26485;26656;5761;72;5131;16.9%
1;Continente;11;Norte;111;Minho-Lima;0000;Total;000000;;120478;18118;57178;22898;11702;7297;62;942;1454;500;1;326;15.0%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;000000;;9307;1570;4315;1763;1001;500;4;0;113;6;0;35;16.9%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160101;ABOIM DAS CHOÇAS;146;21;64;33;18;3;0;0;2;0;0;5;14.4%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160102;AGUIÃ;325;16;157;63;64;21;0;0;4;0;0;0;4.9%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160103;ALVORA;65;0;40;7;15;3;0;0;0;0;0;0;0.0%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160104;ÁZERE;94;13;42;11;25;0;0;0;3;0;0;0;13.8%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160105;CABANA MAIOR;51;7;22;11;9;0;0;0;0;0;0;2;13.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160106;CABREIRO;93;7;46;4;5;27;0;0;1;1;0;2;7.5%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160107;CARRALCOVA;56;34;11;3;2;6;0;0;0;0;0;0;60.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160108;CENDUFE;146;5;82;27;17;11;0;0;3;0;0;1;3.4%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160109;COUTO;232;23;115;46;31;11;0;0;3;1;0;2;9.9%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160110;EIRAS;82;12;41;10;7;12;0;0;0;0;0;0;14.6%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160111;ERMELO;14;1;7;2;3;1;0;0;0;0;0;0;7.1%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160112;EXTREMO;53;3;24;10;12;3;1;0;0;0;0;0;5.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160113;GAVIEIRA;87;34;24;11;14;2;0;0;0;0;0;2;39.1%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160114;GIELA;287;70;120;74;16;7;0;0;0;0;0;0;24.4%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160115;GONDORIZ;340;50;149;60;45;14;0;0;17;1;0;4;14.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160116;GRADE;119;7;52;10;43;4;0;0;2;0;0;1;5.9%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160117;GUILHADESES;548;33;295;160;27;31;0;0;2;0;0;0;6.0%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160118;LOUREDA;52;4;24;8;14;2;0;0;0;0;0;0;7.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160119;JOLDA (MADALENA);155;9;70;17;34;20;0;0;4;1;0;0;5.8%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160120;MEI;37;2;17;10;2;5;0;0;1;0;0;0;5.4%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160121;MIRANDA;77;6;36;18;14;2;0;0;1;0;0;0;7.8%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160122;MONTE REDONDO;77;8;30;10;27;1;0;0;1;0;0;0;10.4%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160123;OLIVEIRA;151;8;79;20;32;6;0;0;5;0;0;1;5.3%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160124;PAÇÔ;535;57;295;136;26;21;0;0;0;0;0;0;10.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160125;PADROSO;54;2;31;9;7;5;0;0;0;0;0;0;3.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160126;PARADA;207;14;120;57;12;2;0;0;2;0;0;0;6.8%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160127;PORTELA;51;2;23;12;9;5;0;0;0;0;0;0;3.9%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160128;PROZELO;376;42;197;73;45;15;0;0;1;0;0;3;11.2%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160129;RIO CABRÃO;50;4;18;10;13;5;0;0;0;0;0;0;8.0%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160130;RIO FRIO;172;10;90;19;13;32;0;0;8;0;0;0;5.8%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160131;RIO DE MOINHOS;132;6;83;28;8;5;0;0;2;0;0;0;4.5%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160132;SÁ;42;6;26;3;4;3;0;0;0;0;0;0;14.3%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160133;SABADIM;151;9;72;37;14;17;0;0;2;0;0;0;6.0%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160134;ARCOS DE VALDEVEZ (SÃO SALVADOR);634;303;218;93;13;5;0;0;2;0;0;0;47.8%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160135;PADREIRO (SALVADOR);123;12;62;22;9;14;0;0;2;0;0;2;9.8%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160136;PADREIRO (SANTA CRISTINA);14;1;9;0;0;2;1;0;1;0;0;0;7.1%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160137;TÁVORA (SANTA MARIA);317;46;147;55;36;19;1;0;9;1;0;3;14.5%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160138;SANTAR;79;5;36;20;13;3;0;0;2;0;0;0;6.3%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160139;SÃO COSME E SÃO DAMIÃO;73;9;35;14;6;9;0;0;0;0;0;0;12.3%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160140;SÃO JORGE;241;33;96;39;46;18;0;0;8;0;0;1;13.7%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160141;ARCOS DE VALDEVEZ (SÃO PAIO);692;207;286;171;15;10;0;0;2;0;0;1;29.9%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160142;JOLDA (SÃO PAIO);168;5;75;29;24;32;0;0;2;0;0;1;3.0%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160143;TÁVORA (SÃO VICENTE);76;4;41;15;8;3;0;0;2;0;0;3;5.3%
1;Continente;11;Norte;111;Minho-Lima;1601;Arcos de Valdevez;160144;SENHAREI;50;4;30;6;1;9;0;0;0;0;0;0;8.0%
