"municipio_dsg","nut3_dsg","nut2_dsg","a_pe","automóvel_ligeiro_como_condutor","automóvel_ligeiro_como_passageiro","autocarro","transporte_coletivo_da_empresa_ou_escola","metropolitano","comboio","motociclo","bicicleta","barco","outro","total","percentagem_a_pe","percentagem_automovel_ligeiro_como_condutor","percentagem_automovel_ligeiro_como_passageiro","percentagem_autocarro","percentagem_transporte_coletivo_da_empresa_ou_escola","percentagem_metropolitano","percentagem_comboio","percentagem_motociclo","percentagem_bicicleta","percentagem_barco","percentagem_outro"
"Fafe","Ave","Norte",5066,11757,4757,2905,2409,12,45,385,21,0,43,27400,18.5,42.9,17.4,10.6,8.8,0,0.2,1.4,0.1,0,0.2
"Caldas da Rainha","Oeste","Centro",5229,14080,5748,1808,859,37,71,279,128,0,73,28312,18.5,49.7,20.3,6.4,3,0.1,0.3,1,0.5,0,0.3
"Ribeira Grande","Região Autónoma dos Açores","Região Autónoma dos Açores",5463,6483,3578,1981,1622,0,0,67,22,18,92,19326,28.3,33.5,18.5,10.3,8.4,0,0,0.3,0.1,0.1,0.5
"Velas (R.A.A.)","Região Autónoma dos Açores","Região Autónoma dos Açores",601,1427,565,143,284,0,0,34,1,1,9,3065,19.6,46.6,18.4,4.7,9.3,0,0,1.1,0,0,0.3
"Torres Vedras","Oeste","Centro",6758,22233,8485,6065,2420,25,122,338,238,1,122,46807,14.4,47.5,18.1,13,5.2,0.1,0.3,0.7,0.5,0,0.3
"Almeida","Beira Interior Norte","Centro",786,1252,409,221,82,2,6,7,14,0,6,2785,28.2,45,14.7,7.9,2.9,0.1,0.2,0.3,0.5,0,0.2
"Calheta (R.A.M.)","Região Autónoma da Madeira","Região Autónoma da Madeira",911,2230,1005,500,808,0,0,38,1,8,10,5511,16.5,40.5,18.2,9.1,14.7,0,0,0.7,0,0.1,0.2
"Cadaval","Oeste","Centro",1173,3539,1163,701,485,8,45,98,20,0,36,7268,16.1,48.7,16,9.6,6.7,0.1,0.6,1.3,0.3,0,0.5
"Vila Verde","Cávado","Norte",3484,11729,5358,3788,1227,2,97,301,74,0,73,26133,13.3,44.9,20.5,14.5,4.7,0,0.4,1.2,0.3,0,0.3
"Castanheira de Pêra","Pinhal Interior Norte","Centro",220,645,201,171,50,0,0,21,3,0,2,1313,16.8,49.1,15.3,13,3.8,0,0,1.6,0.2,0,0.2
"Tabuaço","Douro","Norte",769,889,315,267,299,0,0,35,1,0,6,2581,29.8,34.4,12.2,10.3,11.6,0,0,1.4,0,0,0.2
"Loulé","Algarve","Algarve",8477,19100,7064,2056,1736,30,86,412,336,10,68,39375,21.5,48.5,17.9,5.2,4.4,0.1,0.2,1,0.9,0,0.2
"Ourém","Médio Tejo","Centro",3164,13196,4489,2364,996,15,151,410,123,0,40,24948,12.7,52.9,18,9.5,4,0.1,0.6,1.6,0.5,0,0.2
"São Pedro do Sul","Dão-Lafões","Centro",1205,3839,1326,739,557,2,0,154,16,0,21,7859,15.3,48.8,16.9,9.4,7.1,0,0,2,0.2,0,0.3
"Aljezur","Algarve","Algarve",600,1143,347,230,148,2,0,32,21,0,2,2525,23.8,45.3,13.7,9.1,5.9,0.1,0,1.3,0.8,0,0.1
"Mértola","Baixo Alentejo","Alentejo",731,1286,412,318,266,3,0,48,11,0,7,3082,23.7,41.7,13.4,10.3,8.6,0.1,0,1.6,0.4,0,0.2
"Nisa","Alto Alentejo","Alentejo",1045,1160,435,213,61,2,0,24,25,0,17,2982,35,38.9,14.6,7.1,2,0.1,0,0.8,0.8,0,0.6
"Lourinhã","Oeste","Centro",2056,6760,2625,1659,590,14,11,195,96,5,83,14094,14.6,48,18.6,11.8,4.2,0.1,0.1,1.4,0.7,0,0.6
"Oliveira do Hospital","Pinhal Interior Norte","Centro",1753,5036,2022,1159,533,3,8,156,34,0,39,10743,16.3,46.9,18.8,10.8,5,0,0.1,1.5,0.3,0,0.4
"Resende","Tâmega","Norte",954,1574,779,911,487,4,47,32,4,0,25,4817,19.8,32.7,16.2,18.9,10.1,0.1,1,0.7,0.1,0,0.5
"Odemira","Alentejo Litoral","Alentejo",2836,5196,1919,1122,1177,5,11,149,68,0,31,12514,22.7,41.5,15.3,9,9.4,0,0.1,1.2,0.5,0,0.2
