"nut3_dsg","nut2_dsg","a_pé","automóvel_ligeiro_como_condutor","automóvel_ligeiro_como_passageiro","autocarro","transporte_coletivo_da_empresa_ou_escola","metropolitano","comboio","motociclo","bicicleta","barco","outro"
"Alentejo Central","Alentejo",20151,41915,17646,5440,2783,65,57,962,620,4,199
"Alentejo Litoral","Alentejo",11541,23092,8384,3524,3361,38,56,440,426,13,168
"Algarve","Algarve",55338,117921,45205,15678,7337,115,1652,3377,2525,391,373
"Alto Alentejo","Alentejo",15285,24616,10205,3799,1871,31,42,453,267,1,115
"Alto Trás-os-Montes","Norte",20752,40581,15214,7716,3668,60,4,380,121,0,515
"Ave","Norte",52109,134697,56734,32637,14778,284,3605,4179,551,3,520
"Baixo Alentejo","Alentejo",18830,26177,9450,5003,2726,46,93,381,334,0,178
"Baixo Mondego","Centro",19167,94324,34969,20926,5356,52,2439,2941,1952,2,491
"Baixo Vouga","Centro",26222,113509,43552,14307,4620,68,5484,7182,8640,140,514
"Beira Interior Norte","Centro",10563,23592,8654,4137,1414,16,76,226,54,1,241
"Beira Interior Sul","Centro",9079,17264,6375,2851,719,23,52,178,80,1,67
"Cova da Beira","Centro",8514,20896,7857,4797,1187,17,87,239,46,0,137
"Cávado","Norte",40302,109376,46691,29735,10206,147,2273,2924,939,1,532
"Douro","Norte",22100,42242,18137,10956,5490,51,200,472,84,1,329
"Dão-Lafões","Centro",20084,70215,27424,13971,5403,53,206,2030,508,2,375
"Entre Douro e Vouga","Norte",23517,79800,35552,12049,3951,92,1048,4128,677,6,431
"Grande Lisboa","Lisboa",181654,474183,189759,190416,15976,63067,94438,9104,1818,410,3506
"Grande Porto","Norte",117922,314092,131693,102160,12494,34757,11749,7361,2389,52,1675
"Lezíria do Tejo","Alentejo",21413,63628,25221,10727,5245,113,3752,1406,1556,2,384
"Minho-Lima","Norte",18118,57178,22898,11702,7297,62,942,1454,500,1,326
"Médio Tejo","Centro",17880,57935,21336,9145,2956,111,2805,1827,846,2,269
"Oeste","Centro",32408,99415,37454,20655,7805,172,1611,2062,1320,8,682
"Península de Setúbal","Lisboa",74935,170786,69689,61290,11498,5851,33232,3304,1713,15827,1136
"Pinhal Interior Norte","Centro",9313,31464,12066,6842,3345,13,144,1155,259,0,164
"Pinhal Interior Sul","Centro",2857,8297,2957,1668,831,13,20,193,55,1,45
"Pinhal Litoral","Centro",16636,83089,29882,10668,4502,83,377,2498,2051,0,394
"Região Autónoma da Madeira","Região Autónoma da Madeira",22749,59939,32098,32907,6459,0,0,1775,65,42,238
"Região Autónoma dos Açores","Região Autónoma dos Açores",26919,64440,31191,15071,9363,0,0,1288,236,99,564
"Serra da Estrela","Centro",3641,9256,3298,1679,978,5,21,171,47,1,67
"Tâmega","Norte",52099,115217,56498,35870,27059,186,6664,5758,500,8,803
